"Title","GBServTO: 70.2 - Management consulting services TOTAL (£m)"
"CDID","JQ3Q"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","12-12-2025"
"Next release","15 January 2026"
"Important notes",
"1998","0.0"
"1999","0.0"
"2000","15963.8"
"2001","18831.7"
"2002","18325.3"
"2003","19996.0"
"2004","21811.8"
"2005","24290.3"
"2006","28388.2"
"2007","34860.1"
"2008","41457.0"
"2009","36975.7"
"2010","31599.0"
"2011","36522.2"
"2012","42688.4"
"2013","46343.6"
"2014","50818.1"
"2015","55537.6"
"2016","63669.4"
"2017","70126.0"
"2018","69108.0"
"2019","74571.4"
"2020","65715.9"
"2021","73735.4"
"2022","81205.1"
"2023","86706.4"
"2024","92030.7"
"1998 Q1","0.0"
"1998 Q2","0.0"
"1998 Q3","0.0"
"1998 Q4","0.0"
"1999 Q1","0.0"
"1999 Q2","0.0"
"1999 Q3","0.0"
"1999 Q4","0.0"
"2000 Q1","3593.1"
"2000 Q2","3801.0"
"2000 Q3","4121.5"
"2000 Q4","4448.2"
"2001 Q1","4839.4"
"2001 Q2","4519.8"
"2001 Q3","4931.2"
"2001 Q4","4541.3"
"2002 Q1","4402.1"
"2002 Q2","4555.6"
"2002 Q3","4575.9"
"2002 Q4","4791.7"
"2003 Q1","4708.1"
"2003 Q2","4660.5"
"2003 Q3","4887.0"
"2003 Q4","5740.4"
"2004 Q1","5364.0"
"2004 Q2","5385.2"
"2004 Q3","5393.0"
"2004 Q4","5669.6"
"2005 Q1","5798.1"
"2005 Q2","5988.4"
"2005 Q3","5876.7"
"2005 Q4","6627.1"
"2006 Q1","6695.3"
"2006 Q2","6748.0"
"2006 Q3","7017.0"
"2006 Q4","7927.9"
"2007 Q1","8099.5"
"2007 Q2","8376.3"
"2007 Q3","8666.6"
"2007 Q4","9717.7"
"2008 Q1","10405.3"
"2008 Q2","10555.2"
"2008 Q3","10165.3"
"2008 Q4","10331.2"
"2009 Q1","9820.7"
"2009 Q2","9069.8"
"2009 Q3","8974.7"
"2009 Q4","9110.5"
"2010 Q1","8960.9"
"2010 Q2","7378.7"
"2010 Q3","7484.2"
"2010 Q4","7775.2"
"2011 Q1","7780.5"
"2011 Q2","8196.3"
"2011 Q3","10039.0"
"2011 Q4","10506.4"
"2012 Q1","10847.8"
"2012 Q2","10491.8"
"2012 Q3","10519.8"
"2012 Q4","10829.0"
"2013 Q1","10995.9"
"2013 Q2","11764.0"
"2013 Q3","11702.6"
"2013 Q4","11881.1"
"2014 Q1","12323.4"
"2014 Q2","12861.9"
"2014 Q3","12433.3"
"2014 Q4","13199.5"
"2015 Q1","13322.1"
"2015 Q2","13783.7"
"2015 Q3","13784.3"
"2015 Q4","14647.5"
"2016 Q1","14614.7"
"2016 Q2","16001.3"
"2016 Q3","15811.6"
"2016 Q4","17241.8"
"2017 Q1","17069.9"
"2017 Q2","17265.1"
"2017 Q3","17291.4"
"2017 Q4","18499.6"
"2018 Q1","16426.8"
"2018 Q2","16857.6"
"2018 Q3","16989.7"
"2018 Q4","18833.9"
"2019 Q1","17776.3"
"2019 Q2","18269.3"
"2019 Q3","18899.3"
"2019 Q4","19626.5"
"2020 Q1","17724.5"
"2020 Q2","15127.9"
"2020 Q3","15749.9"
"2020 Q4","17113.6"
"2021 Q1","17534.1"
"2021 Q2","17584.3"
"2021 Q3","18294.4"
"2021 Q4","20322.6"
"2022 Q1","19102.9"
"2022 Q2","20170.7"
"2022 Q3","20394.7"
"2022 Q4","21536.8"
"2023 Q1","21505.0"
"2023 Q2","21371.4"
"2023 Q3","20619.9"
"2023 Q4","23210.1"
"2024 Q1","22778.5"
"2024 Q2","22212.1"
"2024 Q3","23002.4"
"2024 Q4","24037.7"
"2025 Q1","23566.0"
"2025 Q2","22688.6"
"2025 Q3","21711.3"
"1998 JAN","0.0"
"1998 FEB","0.0"
"1998 MAR","0.0"
"1998 APR","0.0"
"1998 MAY","0.0"
"1998 JUN","0.0"
"1998 JUL","0.0"
"1998 AUG","0.0"
"1998 SEP","0.0"
"1998 OCT","0.0"
"1998 NOV","0.0"
"1998 DEC","0.0"
"1999 JAN","0.0"
"1999 FEB","0.0"
"1999 MAR","0.0"
"1999 APR","0.0"
"1999 MAY","0.0"
"1999 JUN","0.0"
"1999 JUL","0.0"
"1999 AUG","0.0"
"1999 SEP","0.0"
"1999 OCT","0.0"
"1999 NOV","0.0"
"1999 DEC","0.0"
"2000 JAN","1305.9"
"2000 FEB","1204.1"
"2000 MAR","1083.1"
"2000 APR","1117.5"
"2000 MAY","1264.1"
"2000 JUN","1419.4"
"2000 JUL","1330.7"
"2000 AUG","1335.4"
"2000 SEP","1455.4"
"2000 OCT","1511.6"
"2000 NOV","1504.5"
"2000 DEC","1432.1"
"2001 JAN","1518.4"
"2001 FEB","1572.2"
"2001 MAR","1748.8"
"2001 APR","1453.5"
"2001 MAY","1472.1"
"2001 JUN","1594.2"
"2001 JUL","1720.8"
"2001 AUG","1625.4"
"2001 SEP","1585.0"
"2001 OCT","1579.9"
"2001 NOV","1548.7"
"2001 DEC","1412.7"
"2002 JAN","1352.6"
"2002 FEB","1383.9"
"2002 MAR","1665.6"
"2002 APR","1564.3"
"2002 MAY","1531.2"
"2002 JUN","1460.1"
"2002 JUL","1515.6"
"2002 AUG","1522.7"
"2002 SEP","1537.6"
"2002 OCT","1752.8"
"2002 NOV","1513.5"
"2002 DEC","1525.4"
"2003 JAN","1506.0"
"2003 FEB","1513.1"
"2003 MAR","1689.0"
"2003 APR","1574.8"
"2003 MAY","1466.1"
"2003 JUN","1619.6"
"2003 JUL","1596.5"
"2003 AUG","1518.5"
"2003 SEP","1772.0"
"2003 OCT","1867.3"
"2003 NOV","1897.3"
"2003 DEC","1975.8"
"2004 JAN","1610.7"
"2004 FEB","1701.6"
"2004 MAR","2051.7"
"2004 APR","1735.1"
"2004 MAY","1769.9"
"2004 JUN","1880.2"
"2004 JUL","1865.7"
"2004 AUG","1737.3"
"2004 SEP","1790.0"
"2004 OCT","1819.4"
"2004 NOV","1896.5"
"2004 DEC","1953.7"
"2005 JAN","1813.6"
"2005 FEB","1899.3"
"2005 MAR","2085.2"
"2005 APR","2019.1"
"2005 MAY","1894.9"
"2005 JUN","2074.4"
"2005 JUL","2028.2"
"2005 AUG","1841.9"
"2005 SEP","2006.6"
"2005 OCT","2104.0"
"2005 NOV","2187.2"
"2005 DEC","2335.9"
"2006 JAN","2109.5"
"2006 FEB","2076.0"
"2006 MAR","2509.8"
"2006 APR","2164.9"
"2006 MAY","2226.4"
"2006 JUN","2356.7"
"2006 JUL","2318.3"
"2006 AUG","2316.5"
"2006 SEP","2382.2"
"2006 OCT","2539.9"
"2006 NOV","2610.8"
"2006 DEC","2777.2"
"2007 JAN","2505.7"
"2007 FEB","2602.1"
"2007 MAR","2991.7"
"2007 APR","2754.5"
"2007 MAY","2729.0"
"2007 JUN","2892.8"
"2007 JUL","2870.3"
"2007 AUG","2799.8"
"2007 SEP","2996.5"
"2007 OCT","3307.8"
"2007 NOV","3321.0"
"2007 DEC","3088.9"
"2008 JAN","3312.2"
"2008 FEB","3390.7"
"2008 MAR","3702.4"
"2008 APR","3673.7"
"2008 MAY","3399.8"
"2008 JUN","3481.7"
"2008 JUL","3420.8"
"2008 AUG","3231.2"
"2008 SEP","3513.3"
"2008 OCT","3534.8"
"2008 NOV","3500.6"
"2008 DEC","3295.8"
"2009 JAN","3042.5"
"2009 FEB","3049.2"
"2009 MAR","3729.0"
"2009 APR","3100.0"
"2009 MAY","2954.6"
"2009 JUN","3015.2"
"2009 JUL","3142.5"
"2009 AUG","2767.5"
"2009 SEP","3064.7"
"2009 OCT","3088.0"
"2009 NOV","3081.4"
"2009 DEC","2941.1"
"2010 JAN","2889.8"
"2010 FEB","2734.3"
"2010 MAR","3336.8"
"2010 APR","2381.1"
"2010 MAY","2360.6"
"2010 JUN","2637.0"
"2010 JUL","2336.4"
"2010 AUG","2452.7"
"2010 SEP","2695.1"
"2010 OCT","2554.9"
"2010 NOV","2619.0"
"2010 DEC","2601.3"
"2011 JAN","2352.4"
"2011 FEB","2470.8"
"2011 MAR","2957.3"
"2011 APR","2498.4"
"2011 MAY","2662.5"
"2011 JUN","3035.4"
"2011 JUL","3256.4"
"2011 AUG","3199.4"
"2011 SEP","3583.2"
"2011 OCT","3452.5"
"2011 NOV","3667.1"
"2011 DEC","3386.8"
"2012 JAN","3423.4"
"2012 FEB","3454.0"
"2012 MAR","3970.4"
"2012 APR","3373.5"
"2012 MAY","3567.8"
"2012 JUN","3550.5"
"2012 JUL","3571.2"
"2012 AUG","3361.1"
"2012 SEP","3587.5"
"2012 OCT","3638.6"
"2012 NOV","3590.4"
"2012 DEC","3600.0"
"2013 JAN","3475.2"
"2013 FEB","3635.6"
"2013 MAR","3885.1"
"2013 APR","3917.2"
"2013 MAY","3893.8"
"2013 JUN","3953.0"
"2013 JUL","3975.0"
"2013 AUG","3615.1"
"2013 SEP","4112.5"
"2013 OCT","4064.9"
"2013 NOV","4046.4"
"2013 DEC","3769.8"
"2014 JAN","3831.2"
"2014 FEB","4043.5"
"2014 MAR","4448.7"
"2014 APR","4124.5"
"2014 MAY","4429.5"
"2014 JUN","4307.9"
"2014 JUL","4308.8"
"2014 AUG","3771.8"
"2014 SEP","4352.7"
"2014 OCT","4522.2"
"2014 NOV","4189.0"
"2014 DEC","4488.3"
"2015 JAN","4100.9"
"2015 FEB","4275.0"
"2015 MAR","4946.2"
"2015 APR","4347.1"
"2015 MAY","4573.0"
"2015 JUN","4863.6"
"2015 JUL","4801.2"
"2015 AUG","4156.4"
"2015 SEP","4826.7"
"2015 OCT","4850.4"
"2015 NOV","4724.1"
"2015 DEC","5073.0"
"2016 JAN","4527.8"
"2016 FEB","4665.9"
"2016 MAR","5421.0"
"2016 APR","5000.0"
"2016 MAY","5200.9"
"2016 JUN","5800.4"
"2016 JUL","5230.1"
"2016 AUG","5188.4"
"2016 SEP","5393.1"
"2016 OCT","5430.7"
"2016 NOV","5722.9"
"2016 DEC","6088.2"
"2017 JAN","5231.7"
"2017 FEB","5356.5"
"2017 MAR","6481.7"
"2017 APR","5277.8"
"2017 MAY","5773.8"
"2017 JUN","6213.5"
"2017 JUL","5565.1"
"2017 AUG","5550.6"
"2017 SEP","6175.7"
"2017 OCT","5951.6"
"2017 NOV","6259.9"
"2017 DEC","6288.1"
"2018 JAN","5072.2"
"2018 FEB","5205.5"
"2018 MAR","6149.1"
"2018 APR","5263.2"
"2018 MAY","5716.3"
"2018 JUN","5878.1"
"2018 JUL","5220.3"
"2018 AUG","5908.9"
"2018 SEP","5860.5"
"2018 OCT","5873.3"
"2018 NOV","6775.3"
"2018 DEC","6185.3"
"2019 JAN","5307.3"
"2019 FEB","5899.0"
"2019 MAR","6570.0"
"2019 APR","5408.1"
"2019 MAY","6430.2"
"2019 JUN","6431.0"
"2019 JUL","6191.0"
"2019 AUG","6331.9"
"2019 SEP","6376.4"
"2019 OCT","6206.4"
"2019 NOV","6676.8"
"2019 DEC","6743.3"
"2020 JAN","5607.8"
"2020 FEB","6106.6"
"2020 MAR","6010.1"
"2020 APR","4847.9"
"2020 MAY","5116.3"
"2020 JUN","5163.7"
"2020 JUL","4960.3"
"2020 AUG","5216.8"
"2020 SEP","5572.8"
"2020 OCT","5342.8"
"2020 NOV","5929.1"
"2020 DEC","5841.7"
"2021 JAN","5139.0"
"2021 FEB","5740.1"
"2021 MAR","6655.0"
"2021 APR","5568.5"
"2021 MAY","5999.2"
"2021 JUN","6016.6"
"2021 JUL","5697.2"
"2021 AUG","6139.1"
"2021 SEP","6458.1"
"2021 OCT","5930.4"
"2021 NOV","7113.3"
"2021 DEC","7278.9"
"2022 JAN","5966.2"
"2022 FEB","6260.9"
"2022 MAR","6875.8"
"2022 APR","6122.1"
"2022 MAY","6775.7"
"2022 JUN","7272.9"
"2022 JUL","6512.0"
"2022 AUG","6896.5"
"2022 SEP","6986.2"
"2022 OCT","6853.6"
"2022 NOV","7024.4"
"2022 DEC","7658.8"
"2023 JAN","6229.4"
"2023 FEB","7136.4"
"2023 MAR","8139.2"
"2023 APR","6742.9"
"2023 MAY","7065.7"
"2023 JUN","7562.8"
"2023 JUL","6509.4"
"2023 AUG","6936.1"
"2023 SEP","7174.4"
"2023 OCT","6852.8"
"2023 NOV","7838.4"
"2023 DEC","8518.9"
"2024 JAN","6733.9"
"2024 FEB","7630.8"
"2024 MAR","8413.8"
"2024 APR","7039.5"
"2024 MAY","7697.9"
"2024 JUN","7474.7"
"2024 JUL","7229.3"
"2024 AUG","7523.6"
"2024 SEP","8249.5"
"2024 OCT","7477.6"
"2024 NOV","7995.3"
"2024 DEC","8564.8"
"2025 JAN","7046.1"
"2025 FEB","7760.2"
"2025 MAR","8759.7"
"2025 APR","7032.4"
"2025 MAY","7459.6"
"2025 JUN","8196.6"
"2025 JUL","7011.7"
"2025 AUG","7038.2"
"2025 SEP","7661.4"
"2025 OCT","7582.7"
